station,stationCode,observedDate,metric,value,unit,provider,resolution,aggregation,quality,sourceFile
Lom,lom,2023-01-01,water_temperature,5.3,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-02,water_temperature,5.4,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-03,water_temperature,5.5,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-04,water_temperature,6.0,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-05,water_temperature,6.0,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-06,water_temperature,6.1,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-07,water_temperature,6.1,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-08,water_temperature,5.7,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-09,water_temperature,5.6,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-10,water_temperature,5.5,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-11,water_temperature,5.6,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-12,water_temperature,5.7,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-13,water_temperature,5.7,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-14,water_temperature,5.9,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-15,water_temperature,6.0,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-16,water_temperature,6.0,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-17,water_temperature,5.8,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-18,water_temperature,6.1,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-19,water_temperature,6.5,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-20,water_temperature,6.6,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-21,water_temperature,6.1,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-22,water_temperature,6.1,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-23,water_temperature,6.4,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-24,water_temperature,6.3,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-25,water_temperature,6.1,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-26,water_temperature,5.9,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-27,water_temperature,5.7,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-28,water_temperature,5.5,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-29,water_temperature,5.4,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-30,water_temperature,5.2,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-01-31,water_temperature,4.9,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-02-01,water_temperature,4.7,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-02-02,water_temperature,4.7,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-02-03,water_temperature,4.6,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
Lom,lom,2023-02-04,water_temperature,4.5,C,appd-bg,daily,daily_mean,official,01_Apr_2026_09_38_44_Лом_2023_инфо_БГ.pdf
