station,stationCode,observedDate,metric,value,unit,provider,resolution,aggregation,quality,sourceFile
Novo Selo,novo-selo,2024-01-01,water_discharge,8362.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-02,water_discharge,8647.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-03,water_discharge,8662.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-04,water_discharge,8951.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-05,water_discharge,9013.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-06,water_discharge,9059.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-07,water_discharge,9167.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-08,water_discharge,8905.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-09,water_discharge,8921.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-10,water_discharge,8905.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-11,water_discharge,8814.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-12,water_discharge,8738.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-13,water_discharge,8556.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-14,water_discharge,8632.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-15,water_discharge,8768.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-16,water_discharge,8602.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-17,water_discharge,8556.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-18,water_discharge,8451.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-19,water_discharge,8317.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-20,water_discharge,7775.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-21,water_discharge,7376.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-22,water_discharge,7703.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-23,water_discharge,7718.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-24,water_discharge,7138.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-25,water_discharge,7194.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-26,water_discharge,6999.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-27,water_discharge,6917.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-28,water_discharge,7152.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-29,water_discharge,7418.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-30,water_discharge,7418.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-01-31,water_discharge,7194.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-01,water_discharge,7362.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-02,water_discharge,7222.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-03,water_discharge,6986.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-04,water_discharge,7250.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-05,water_discharge,6753.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-06,water_discharge,6780.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-07,water_discharge,6011.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-08,water_discharge,6404.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-09,water_discharge,6114.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-10,water_discharge,5792.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-11,water_discharge,6062.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-12,water_discharge,6011.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-13,water_discharge,6232.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-14,water_discharge,5946.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-15,water_discharge,6298.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-16,water_discharge,6604.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-17,water_discharge,6986.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-18,water_discharge,6944.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-19,water_discharge,7194.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-20,water_discharge,7278.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-21,water_discharge,7096.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-22,water_discharge,6876.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-23,water_discharge,6821.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-24,water_discharge,6903.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-25,water_discharge,6391.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-26,water_discharge,6377.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-27,water_discharge,6311.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-28,water_discharge,6551.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-02-29,water_discharge,6404.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-01,water_discharge,6497.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-02,water_discharge,6484.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-03,water_discharge,6232.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-04,water_discharge,6726.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-05,water_discharge,6537.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-06,water_discharge,6457.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-07,water_discharge,6154.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-08,water_discharge,5869.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-09,water_discharge,5907.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-10,water_discharge,5729.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-11,water_discharge,5665.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-12,water_discharge,5628.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-13,water_discharge,5729.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-14,water_discharge,5577.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-15,water_discharge,5317.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-16,water_discharge,5502.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-17,water_discharge,5703.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-18,water_discharge,6023.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-19,water_discharge,6311.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-20,water_discharge,6377.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-21,water_discharge,6417.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
Novo Selo,novo-selo,2024-03-22,water_discharge,6154.0,m3/s,appd-bg,daily,daily_mean,official,novo-selo-2024.pdf
