station,stationCode,observedDate,metric,value,unit,provider,resolution,aggregation,quality,sourceFile
Novo Selo,novo-selo,2023-01-01,water_level,407.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-02,water_level,343.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-03,water_level,401.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-04,water_level,370.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-05,water_level,352.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-06,water_level,328.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-07,water_level,330.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-08,water_level,300.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-09,water_level,276.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-10,water_level,253.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-11,water_level,246.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-12,water_level,275.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-13,water_level,316.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-14,water_level,343.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-15,water_level,340.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-16,water_level,316.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-17,water_level,338.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-18,water_level,347.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-19,water_level,357.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-20,water_level,378.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-21,water_level,474.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-22,water_level,493.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-23,water_level,500.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-24,water_level,550.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
Novo Selo,novo-selo,2023-01-25,water_level,558.0,cm,appd-bg,daily,daily_mean,official,novo-selo-2023.pdf
