station,stationCode,observedDate,metric,value,unit,provider,resolution,aggregation,quality,sourceFile
Novo Selo,novo-selo,2025-01-01,water_temperature,4.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-02,water_temperature,4.1,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-03,water_temperature,4.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-04,water_temperature,4.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-05,water_temperature,3.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-06,water_temperature,3.7,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-07,water_temperature,4.0,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-08,water_temperature,5.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-09,water_temperature,4.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-10,water_temperature,3.9,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-11,water_temperature,3.8,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-12,water_temperature,3.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-13,water_temperature,3.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-14,water_temperature,3.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-15,water_temperature,3.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-16,water_temperature,3.8,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-17,water_temperature,3.7,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-18,water_temperature,3.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-19,water_temperature,3.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-20,water_temperature,3.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-21,water_temperature,3.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-22,water_temperature,3.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-23,water_temperature,3.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-24,water_temperature,3.8,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-25,water_temperature,3.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-26,water_temperature,3.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-27,water_temperature,4.0,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-28,water_temperature,3.9,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-29,water_temperature,4.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-30,water_temperature,4.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-01-31,water_temperature,4.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-01,water_temperature,4.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-02,water_temperature,4.9,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-03,water_temperature,4.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-04,water_temperature,4.8,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-05,water_temperature,4.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-06,water_temperature,4.9,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-07,water_temperature,4.9,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-08,water_temperature,4.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-09,water_temperature,4.8,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-10,water_temperature,4.3,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-11,water_temperature,4.0,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-12,water_temperature,4.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-13,water_temperature,5.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-14,water_temperature,5.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-15,water_temperature,5.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-16,water_temperature,4.0,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-17,water_temperature,4.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-18,water_temperature,4.3,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-19,water_temperature,3.9,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-20,water_temperature,4.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-21,water_temperature,3.7,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-22,water_temperature,3.3,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-23,water_temperature,3.1,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-24,water_temperature,3.8,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-25,water_temperature,4.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-26,water_temperature,4.9,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-27,water_temperature,5.1,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-02-28,water_temperature,5.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-01,water_temperature,5.7,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-02,water_temperature,5.9,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-03,water_temperature,5.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-04,water_temperature,4.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-05,water_temperature,4.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-06,water_temperature,4.7,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-07,water_temperature,4.8,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-08,water_temperature,5.0,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-09,water_temperature,5.3,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-10,water_temperature,5.7,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-11,water_temperature,6.1,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-12,water_temperature,6.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-13,water_temperature,8.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-14,water_temperature,8.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-15,water_temperature,8.3,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-16,water_temperature,8.0,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-17,water_temperature,8.8,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-18,water_temperature,8.7,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-19,water_temperature,8.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-20,water_temperature,8.9,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-21,water_temperature,9.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-22,water_temperature,9.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-23,water_temperature,10.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-24,water_temperature,10.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-25,water_temperature,10.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-26,water_temperature,10.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-27,water_temperature,10.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-28,water_temperature,10.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-29,water_temperature,10.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-30,water_temperature,10.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-03-31,water_temperature,10.7,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-01,water_temperature,10.9,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-02,water_temperature,10.8,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-03,water_temperature,11.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-04,water_temperature,11.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-05,water_temperature,11.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-06,water_temperature,10.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-07,water_temperature,11.0,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-08,water_temperature,11.1,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-09,water_temperature,10.8,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-10,water_temperature,10.8,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-11,water_temperature,10.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-12,water_temperature,10.8,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-13,water_temperature,11.1,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-14,water_temperature,11.5,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-15,water_temperature,11.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-16,water_temperature,11.7,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-17,water_temperature,12.2,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-18,water_temperature,12.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-19,water_temperature,12.6,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-20,water_temperature,12.9,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-21,water_temperature,13.1,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-22,water_temperature,14.0,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-23,water_temperature,14.4,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
Novo Selo,novo-selo,2025-04-24,water_temperature,15.1,C,appd-bg,daily,daily_mean,official,novo-selo-2025.pdf
